Symbols,Attributes,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12
1326.TW,Adj Close,79.9000015258789,78.69999694824219,79.30000305175781,78.5,78.5999984741211
1326.TW,Close,79.9000015258789,78.69999694824219,79.30000305175781,78.5,78.5999984741211
1326.TW,High,79.9000015258789,79.30000305175781,79.30000305175781,79.5999984741211,78.9000015258789
1326.TW,Low,78.69999694824219,78.69999694824219,78.80000305175781,78.5,78.30000305175781
1326.TW,Open,79.0,79.0,79.19999694824219,79.30000305175781,78.69999694824219
1326.TW,Volume,4238176.0,6235430.0,1715972.0,3524639.0,3254579.0
1398.HK,Adj Close,4.809999942779541,4.789999961853027,4.78000020980835,4.78000020980835,4.75
1398.HK,Close,4.809999942779541,4.789999961853027,4.78000020980835,4.78000020980835,4.75
1398.HK,High,4.869999885559082,4.849999904632568,4.809999942779541,4.800000190734863,4.800000190734863
1398.HK,Low,4.789999961853027,4.769999980926514,4.760000228881836,4.71999979019165,4.71999979019165
1398.HK,Open,4.860000133514404,4.820000171661377,4.78000020980835,4.800000190734863,4.800000190734863
1398.HK,Volume,193053761.0,165591689.0,125862452.0,217015199.0,197079900.0
1810.HK,Adj Close,13.65999984741211,13.420000076293944,13.199999809265137,12.359999656677246,12.31999969482422
1810.HK,Close,13.65999984741211,13.420000076293944,13.199999809265137,12.359999656677246,12.31999969482422
1810.HK,High,13.960000038146973,13.9399995803833,13.539999961853027,13.119999885559082,12.579999923706056
1810.HK,Low,13.520000457763672,13.420000076293944,12.9399995803833,12.260000228881836,11.979999542236328
1810.HK,Open,13.920000076293944,13.5,13.359999656677246,13.100000381469728,12.380000114440918
1810.HK,Volume,95404423.0,65456759.0,109115951.0,116988120.0,115468751.0
1928.HK,Adj Close,18.799999237060547,18.200000762939453,17.799999237060547,17.200000762939453,17.8799991607666
1928.HK,Close,18.799999237060547,18.200000762939453,17.799999237060547,17.200000762939453,17.8799991607666
1928.HK,High,19.399999618530277,18.63999938964844,18.200000762939453,17.6200008392334,18.299999237060547
1928.HK,Low,18.57999992370605,18.059999465942383,17.559999465942383,17.0,16.959999084472656
1928.HK,Open,19.399999618530277,18.6200008392334,18.200000762939453,17.6200008392334,17.079999923706055
1928.HK,Volume,11711301.0,13014163.0,9792225.0,14966914.0,19787553.0
1COV.DE,Adj Close,44.130001068115234,43.59000015258789,43.97999954223633,43.369998931884766,43.709999084472656
1COV.DE,Close,44.130001068115234,43.59000015258789,43.97999954223633,43.369998931884766,43.709999084472656
1COV.DE,High,45.560001373291016,44.61000061035156,44.650001525878906,44.18999862670898,43.81999969482422
1COV.DE,Low,43.70000076293945,43.52000045776367,43.68999862670898,42.95000076293945,42.36000061035156
1COV.DE,Open,45.34999847412109,44.2599983215332,43.90999984741211,43.83000183105469,42.7599983215332
1COV.DE,Volume,1433996.0,1340589.0,1408631.0,1338238.0,656229.0
2317.TW,Adj Close,105.0,103.0,103.0,102.0,102.0
